Party,Seats Won,Voting %,Year
Bharatiya Janta Party,17,24%,2019
Janata Dal (United),16,22%,2019
Lok Jan Shakti Party,6,8%,2019
Indian National Congress,1,8%,2019
Rashtriya Janata Dal,0,16%,2019
Independent,0,6%,2019
Rashtriya Lok Samta Party,0,4%,2019
Hindustani Awam Morcha (Secular),0,2%,2019
