Party,Seats Won,Voting %,Year
Janata Dal (United),20,24%,2009
Rashtriya Janata Dal,4,19.30%,2009
Bharatiya Janta Party,12,13.90%,2009
Independent,2,12.10%,2009
Indian National Congress,2,10.30%,2009
Lok Jan Shakti Party,0,6.50%,2009
